durasi;REV_VOICE;Rasio.on.net;REV_SMS;REV_DATA
67;63314.33333;0.907618862;15316.66667;81962.66667
2.666666667;5546.333333;0.964957265;254;282
729.6666667;105662.6667;0.973802204;37391.66667;12750
7.333333333;13201.33333;0.771604938;275;39169.33333
367.3333333;50473;0.75015124;19083.33333;15174.33333
1098.333333;41524.66667;1;28341.66667;60
129.3333333;66604;0.921115921;69883.33333;120
194;34203.66667;1;6400;25567.33333
616.3333333;28549.33333;0.976366043;10316.66667;77152.66667
839.3333333;179414.3333;0.985711638;56291.66667;75001.5
169;54186;0.868096578;16450;5937.5
6.666666667;10221.33333;1;10508.33333;15090.33333
206;60541;1;30308.33333;25001
0.666666667;5804;0.708333333;15283.33333;55759.33333
86.66666667;67661;0.511477412;16202;17698.5
19;51575;0.876190476;5716.666667;140578
27.33333333;34100;0.956148393;84233.33333;60
322.6666667;94259.66667;1;25908.33333;12878
161.6666667;104517;0.874776544;55800;127850.6667
68.33333333;56280.66667;0.947937602;13166.66667;19520
497.3333333;166280.6667;0.994757264;20641.66667;11801
34.66666667;48297;0.654411765;13575;63853.33333
999;17943.33333;0.996763754;17116.33333;43131.33333
4.333333333;15215.33333;0.5;1325;544177.6667
2.333333333;5875.333333;0.714285714;4541.666667;333294.3333
1354.333333;124318.3333;0.989081897;6991.666667;6784.333333
18.33333333;11687.66667;0.979166667;858.3333333;328566
179.3333333;123743.6667;0.741253254;1925;125936
158.6666667;79242;0.880663548;18766.66667;2708.666667
446.3333333;67793.33333;0.995940312;9966.666667;20333.33333
28.5;1825;1;1000;72571.66667
17;56770;0.697782688;29625;20282
727;92181;0.908365298;28233.33333;87100.66667
216;157041;0.958691052;48433.33333;60
59.66666667;40250;0.89139427;13233.33333;65237.33333
728.6666667;195863.6667;0.992969361;113133.3333;202668.6667
401;122948.6667;0.926068795;25458.33333;23932
82;134930;0.702255642;20208.33333;37610
2;2348;1;762;90557
49.33333333;137871;0.723959147;23650;11460
1281.666667;271237;1;47141.66667;90883.66667
300;99653;1;50733.33333;60
22.66666667;45632.33333;0.969135803;17808.33333;47864.66667
31.66666667;22768;0.83553319;7158.666667;204528.6667
8.666666667;8828.333333;1;51358.33333;12760
1336.666667;94637;0.812377255;15008.33333;497.5
271.3333333;38322.66667;0.971678916;10675;81378
61.66666667;15278.33333;0.977777778;23419.33333;160419.3333
11.5;5141;0.875;21550;91583
623.6666667;115306.6667;0.992592593;21233.33333;27694
0;3542.666667;0.80952381;1316.666667;182871.6667
167;155304.6667;0.771037281;36700;155688.6667
47.66666667;28375;0.83109834;3025;54695
85.33333333;79637.33333;0.994350283;1675;3360
228;28854.33333;0.916819923;2391.666667;100189
298;111765.6667;0.992046542;31558.33333;180
81.33333333;158947.6667;0.98381877;17741.66667;281576
0.666666667;2547.333333;0.285714286;300;80620
112.3333333;89240;1;22875;3385
489.3333333;109835;1;2225;6660
33.66666667;55275;0.994350283;13991.66667;159121.3333
18;47278.33333;0.363098021;7241.666667;36403.66667
1316.333333;106786.3333;0.874833637;6391.666667;76751.33333
54.33333333;70586.33333;0.78813933;9991.666667;174148
578;173683.6667;0.931968896;13516.66667;68335
307;55250.33333;0.924652778;26633.33333;53241
74.66666667;41980;0.702910798;4125;82500
11.66666667;40560.66667;0.956508232;6400;27670.5
12.66666667;38351;0.789660855;24908.33333;413.5
630.6666667;93630.33333;0.993519882;20950;7830
112.6666667;53929.33333;0.994252874;10250;67461
229.6666667;33277.33333;0.993827161;11900;4400
131;15297;1;3850;91973.33333
198.6666667;163766.3333;0.600624462;6658.333333;10170.33333
113.6666667;100580;1;17133.33333;70476.33333
199.6666667;121821.3333;0.969351348;19708.33333;330
10.66666667;23366.33333;0.47979798;4875;155407.6667
1285.666667;403883.3333;0.992503976;17366.66667;166668.3333
618.6666667;62066;1;13166.66667;40007.5
16.33333333;10166.66667;0.86039886;15851.66667;308141
3;327;1;825;74616
341;72892.66667;0.975562378;10816.66667;1050
9.333333333;27550;0.616223776;92133.33333;6642.333333
20.66666667;11368.66667;0.923297491;69341.66667;83365.66667
28;7197.333333;1;26675;152540
29;54100;0.995614035;32025;189.3333333
289;291421.6667;0.95506684;4083.333333;12500
24.5;46101.5;1;4525;139042
3.666666667;4283;1;22225;56916
224.6666667;76978;1;4108.333333;100001
272.3333333;93827.33333;0.990305773;13916.66667;7385
66.33333333;65346;0.996794872;23700;3198.5
12.66666667;29079;0.67948718;2325;1360
408.6666667;99188;0.952978056;18450;225670.6667
469.6666667;86500.66667;0.991071429;13000;60
94.66666667;68944.33333;0.646053336;23258.33333;2100
108;69840;0.64141239;1316.666667;88899
21;64199.66667;0.536796537;51391.66667;58335.66667
34;48695;0.885390071;27525;120
178.6666667;29238.66667;0.976216814;34783.33333;213
52.33333333;45204.66667;0.955163327;31108.33333;39284
2238;197509.3333;1;54258.33333;60
27.33333333;22124;0.603547672;14713.66667;93333.33333
28.66666667;26520.66667;0.87962963;9508.333333;118190.6667
43.33333333;155698.6667;1;550;60
41.66666667;60897.33333;0.848342888;1012.5;231666.6667
1.666666667;11294;0.253472222;8050;100638.6667
56;17744.66667;0.989583333;4200;62953.33333
410;225271.6667;0.841934262;3758.333333;140500
388;11298;1;5533.333333;79453.33333
238.3333333;14088.33333;0.967741936;6635.333333;152836
203.6666667;53373.66667;0.989333333;12516.66667;66049.33333
68;113721.6667;0.729042484;97875;2320
1306.666667;450736.6667;0.98519355;59866.66667;47000
1483;134680.3333;0.997333333;14666.66667;38435
24;44885;0.493528694;391.6666667;59391
86.33333333;113359;0.91289974;5925;166325.6667
31;26264.33333;0.767806268;12300;113481.3333
56.33333333;6739.666667;0.962962963;24725;20254
829.6666667;176380.3333;0.790820015;14233.33333;29416.66667
44.33333333;91374;0.912698413;37783.33333;163621.6667
128;82273;0.834054834;15100;83008
113.3333333;23603.66667;0.991452992;54391.33333;3396.666667
1758;188678;1;4450;88333.33333
163;14693.33333;1;8675;91221.33333
19.33333333;7168;0.747222222;8975;35151.5
8.333333333;22274.33333;0.666666667;2116.666667;118769
166.6666667;34514.33333;1;22526;50031
17.33333333;17482;0.862756656;5582.666667;63864
2.666666667;11876;0.166666667;8275;178333.3333
612.3333333;258233;0.968371081;1925;13815
81.66666667;2219.333333;0.927473144;12404.66667;55670.66667
10;12838;1;1787.5;81773
63;18674;0.9;2325;92596
61;80983.33333;0.684456903;43483.33333;180
1056.666667;186489.3333;1;20783.33333;1328.333333
1478.333333;114456.6667;0.984050574;8583.333333;159196
102.3333333;96707.33333;0.977844411;575;60
8.333333333;14700.33333;0.62962963;28383.33333;40189.33333
322.6666667;110996;0.979033251;8933.333333;25000.5
251.6666667;270639.3333;0.531183246;30483.33333;70836
62.66666667;83213;0.543257823;21825;75005
162.6666667;184043.6667;0.978493493;49600;243849.3333
1389.333333;155633;1;60891.66667;30685.5
171;94407.33333;0.735785754;7631.333333;78585.33333
275.3333333;161056.3333;0.969028824;31575;16692
83;99401;0.556696585;64116.66667;80820
131;53865;0.957204301;85016.66667;60
138;90649.66667;0.961212121;10925;27160.66667
277.3333333;81471;0.990769057;13016.66667;26130
770.3333333;77566.66667;0.941479222;4050;66341.66667
12;9488.333333;1;29095;51486
87;97735.33333;0.959266247;56283.33333;270
562.6666667;83518.33333;0.954402051;1175;201347.6667
30;23825.66667;0.72006705;12766.33333;5498.5
356.3333333;61365;0.966820988;6183.333333;213689.6667
819.3333333;122555.3333;0.99813828;11000;63076
390;146568.3333;0.904525396;7866.666667;49647.66667
945.3333333;145458.3333;0.986497421;6750;912.5
516.3333333;88643.66667;0.997619048;59603;66830
358.3333333;81201.66667;0.905498248;14933.33333;309351.3333
706.3333333;137429.6667;0.656534607;69425;8146.333333
578;64927.33333;0.942045455;8275;29312
181.6666667;11931;1;825;60000
662.3333333;130877.3333;0.998611111;49227.33333;14223
63.33333333;43070.66667;0.915469676;10350;53333.66667
432.6666667;327379.3333;0.904655126;99933.33333;146025.3333
28;18642.66667;0.573484849;34250;167210.6667
814;11466.66667;1;300;56666.66667
185.3333333;48115;0.980997475;18458.33333;60
73.66666667;39693.33333;0.914855073;5583.333333;44202.66667
338.3333333;88034.33333;0.97902741;4216.666667;32340
459.3333333;110100.6667;1;20435.66667;34551
258;63999.66667;0.905746298;1466.666667;52353.33333
1;2478.333333;1;8219.666667;51666.66667
44;83142;0.887957709;741.6666667;60
309.6666667;65987.33333;1;33558.33333;11106.33333
119;39773.33333;0.958098812;6175;95000
406.3333333;126612;0.992602336;38725;13032.33333
4;6914;1;1650;150003
111.6666667;41409;0.993197279;7425;20181
13.66666667;14272.33333;1;350;71389.66667
262.6666667;50346;0.997685185;25658.33333;71696
58.66666667;61887.33333;1;16941.66667;45745
12.33333333;24313;0.775890776;21275;141633
22.66666667;40271.66667;0.788447663;33158.33333;50001
42.33333333;4600.666667;0.948648649;5700;80293.5
238.6666667;180178.6667;0.993327462;1237.5;750
26;64433.66667;0.575320513;37991.66667;1560
181;49158;0.995780591;15158.33333;3372
35.33333333;99827.33333;0.592898551;6125;61166.66667
445.3333333;145684.6667;0.971932442;1875;2520
453.6666667;33831.33333;0.98687664;4141.666667;69394.66667
6;18194;0.643097643;9525;52617.33333
92.66666667;87701.33333;0.804260249;27016.66667;159016.3333
14;24723.33333;0.717598344;3166.666667;165000
2019.333333;146491.6667;0.990909044;67091.66667;50001
357.3333333;56410.33333;0.929409948;10166.66667;118999
303.3333333;96055.66667;0.961646071;6758.333333;14033.33333
2066.333333;123453;1;21275;1380
13.33333333;5903.666667;1;1533.333333;47436
18;47345;0.732936508;12266.66667;181947.6667
636.6666667;76305;1;12600;25000.5
43;54145;0.812017133;11391.66667;48024
127.3333333;128793;0.99543379;15566.66667;120
104;132373.6667;0.71084764;11183.33333;9060
104;85452.33333;0.882744496;15075;79460
34;26164.66667;0.984126984;125191.6667;60
1075.333333;224150;0.986274514;22541.66667;475302.6667
197.3333333;27274.33333;1;28108.33333;6470
802;56551;0.98173516;3133.333333;22000
596;102641.6667;0.994554776;6475;1200
685;497848.3333;0.825552908;4916.666667;203450
0.333333333;9686;0.884057971;558.3333333;125314.6667
224;116801;0.922814498;9375;101150
12.33333333;74327;0.170997084;933.3333333;12446
392.6666667;129636;1;38100;261925.3333
95.33333333;61472;0.99719888;27625.33333;70261.33333
55;92447.66667;0.889978764;1733.333333;66659.33333
5.333333333;14031.33333;0.950396825;3183.333333;75000
37.33333333;27229.33333;0.920634921;25058.33333;200355.6667
109;61200.33333;0.984574468;6816.666667;116299.5
626;89661.66667;0.944361786;35933.33333;180
132;3113.333333;0.964680564;5756.666667;195308
2070.333333;151158;0.976461956;7908.333333;23197.5
377.3333333;79195.66667;0.995564332;21775;50001
100.6666667;56783.33333;0.978092987;7766.666667;95024.66667
26.33333333;35583.33333;0.914991182;21083.33333;1645
56.66666667;117588.6667;0.497589532;18863.33333;7740
914.6666667;121562.3333;0.997979798;35050;60
270.3333333;243389;1;6466.666667;60
567.6666667;548857.3333;0.811060274;38733.33333;94333.33333
568;643152.3333;0.971906688;55616.66667;149650
852;81501.66667;0.998690242;25983.33333;5192.5
38;51958.66667;0.418236519;3707;24291.66667
565.3333333;107993.3333;0.985718428;36933.33333;60
78.33333333;42413.33333;0.98989899;3455.333333;1692
79.66666667;97098;0.841515611;25125;24257.5
22;22926.33333;0.655677656;4300;118666.6667
108;64049.33333;0.959755946;42008.33333;12620
63.5;103009;1;26137.5;240
172.6666667;44627.66667;1;31063.66667;40717
24.33333333;31017;0.742424242;5783.333333;72240
60;16570.33333;1;42758.33333;6268
60.33333333;36475;0.751523476;11583.33333;113796.3333
10.33333333;27993.33333;0.977777778;12308.33333;202029
140.3333333;35161.66667;0.940950117;17716.66667;52841
1198;93500.33333;0.998015873;32175;13009.5
213.6666667;335781;1;49100;132753.6667
602.3333333;42556;0.996453901;14208.33333;13003
59.33333333;19100.33333;0.916666667;3403.333333;32642.5
0.5;1408;0.75;6325;163777.6667
39;53246.66667;0.884634754;3233.333333;47544
68.33333333;46807.33333;1;29879.33333;30000
100;20829.33333;0.954320988;49708.33333;360
0;3600;0;2702.333333;49666.66667
0;428;1;550;46399
67.33333333;31961;0.986111111;32983.33333;360
50;39389;0.937440191;12366.66667;60
733.3333333;91047.33333;1;6650;60
30;38198.33333;1;4958.333333;237416.6667
301;86977.33333;0.954464224;2905.333333;4500
360.6666667;62995.33333;0.907674685;5125;109333.3333
121.3333333;37548.33333;0.757037037;6566.666667;11242.66667
19.33333333;27207.33333;0.987179487;3883.333333;90666.66667
42.66666667;42212.66667;0.824561404;2316.666667;156627.6667
83.33333333;68409.66667;0.699994893;14025;14046.5
101.3333333;121509;1;10225;8850
33;43190.66667;0.692307692;1366.666667;90594.33333
84.33333333;88437;0.986901795;21550;190004.3333
343.6666667;86643.66667;0.948112118;7275;44167.66667
240.6666667;68229;0.971901804;44391.66667;96283
1666.666667;145371;0.995918083;45500;240
26.66666667;18224.33333;1;183.3333333;34413.33333
41.33333333;29938;0.709238534;28866.66667;37683
46.33333333;31636;0.904003268;7412.333333;344280.3333
21;2736;0.96969697;5533.333333;88438
37.33333333;45481.33333;1;18166.66667;49083
1.5;4430;0.708333333;14150;121079
1;2381;0.2;650;104206
989;68794.66667;0.98662303;2666.666667;68593.33333
3.5;7442;0.9;900;247322.6667
44.33333333;30472;0.833333333;12250;75949.66667
256.3333333;131168.6667;0.991778928;21916.66667;641
361.6666667;149369.3333;0.869426518;10891.66667;49166.66667
216;55701.33333;0.846380471;10730;232505.6667
120;75115;0.948582506;27216.66667;143.5
17.33333333;12122;0.89729225;21042;279989.3333
119.6666667;15587.33333;0.785714286;6675;112667
2;4803.333333;1;958.3333333;152456
327.6666667;66170.33333;0.997333333;13475;90217.66667
51.66666667;11729.66667;1;4412.5;66389.5
862.3333333;131583.6667;1;105616.6667;12387.33333
0;1811;1;1050;75001.66667
244.3333333;517786.3333;0.725489895;5358.333333;275593.3333
304;61441.66667;0.981060606;3000;5415
483.6666667;17007;1;20283.33333;17006.66667
687.6666667;49166.66667;1;16691.66667;33281
559.6666667;94674;1;7900;9558
27.66666667;36826.33333;0.715376677;56933.33333;8349.666667
207.3333333;56543.66667;0.976515265;21475;60
69.33333333;55432.33333;0.725872331;2814.666667;316109.3333
351.6666667;195732.6667;0.956670146;19750;124954.6667
203;145593;0.879486613;39266.66667;40826.66667
189.5;36087.5;0.953125;3125;151573.3333
19.66666667;2285.333333;1;1041.666667;88900
129.6666667;112510;0.982003329;28591.66667;25301
18.66666667;53663.33333;0.989247312;9516.666667;60
88.66666667;162813;0.359310422;72750;338636
6;4457;1;575;116670.6667
1388.666667;98721;0.997233748;5958.333333;120
727;235590;0.995646324;19658.33333;152058
949;19091.33333;0.998198198;22191.66667;53609.33333
315.3333333;61129.33333;1;2525;4090
52;16648.66667;0.980392157;17841.66667;24077
2991.666667;353289.6667;0.929150159;67166.66667;26106.5
254;47473;1;27350;67467
3196.666667;193162;0.98218486;79633.33333;1560
385.6666667;23870;0.974358974;29516.66667;26948.33333
262.6666667;60916;0.902413395;13908.33333;44346.66667
760.6666667;190632.6667;0.991983903;37666.66667;25001
38;69082.33333;0.697620022;22641.66667;14500
13.33333333;50872;0.717496229;16391.66667;2600
912.6666667;82620;0.991509389;6633.333333;1370
51.33333333;44097.66667;0.58044733;6806.666667;121116.6667
381;121037.6667;0.984279505;4775;60
20.66666667;25452.33333;0.762971342;12008.33333;57763
14;11396.33333;0.725925926;287.5;145693.3333
768.6666667;304078.3333;0.968684189;20491.66667;131000
177;36336.66667;1;11866.66667;268139.6667
123.6666667;38725.66667;1;41708.33333;12710
270.6666667;68863.33333;1;80633.33333;60
0.333333333;1728.333333;1;76850;2976.666667
340.6666667;77764.66667;0.978499151;42391.66667;119020
52;63663;0.996825397;1966.666667;25817.33333
14;43631.33333;0.906319291;13958.33333;288.3333333
146.6666667;5159.333333;0.920061107;5860.666667;46646.5
813;167788.6667;1;3625;60
184.3333333;16539.33333;1;15967.66667;74960
289.3333333;216815.3333;0.901151699;25516.66667;60
17;20281.66667;0.875925926;3516.666667;136333.3333
192;97732;0.573942724;6725;41035
684;74840;0.991150443;40791.66667;78701.66667
143.3333333;40594.66667;0.766502247;11550;38353.33333
7.333333333;8669.333333;1;1400;88050.66667
688.3333333;6271;0.99941928;5608.333333;60000
428.3333333;117754;0.997007189;6716.666667;540
777.3333333;228560.6667;0.990791348;54700;28885.5
359;74601.33333;0.985752584;6466.666667;1000
148.5;37803.5;0.897556391;17791.66667;1096
30;19463;0.345838956;8775;607984
18.66666667;50955.66667;0.952696475;56241.66667;41627.66667
352;40716.66667;0.853431599;46191.66667;111.3333333
317.6666667;40250;0.964648559;625;181042
1;5075;1;4400;83374
7.5;6445;1;300;155000
421;11190;0.966317344;16466.66667;139866.6667
1008.666667;129041;1;109775;14282.66667
130;59503.33333;0.940009478;13008.33333;116689
26;21117.33333;0.834338864;31116.66667;57500
299.3333333;54198;0.917694126;24325;283.6666667
41.33333333;43940.33333;0.992248062;8375;1560
253.3333333;91239.66667;0.998862344;14308.33333;20001
138.6666667;27906.33333;1;15141.66667;49598.33333
482.6666667;38125;0.995780591;20241.66667;25201
164;97659.33333;0.851696628;4650;92780
0.333333333;1433.666667;0.944444444;725;89604
102;91991.66667;0.674979424;1191.666667;223969
272.3333333;104152.3333;0.824109796;22791.66667;3179
2191.333333;96397.33333;0.998188406;2658.333333;836
84;70883;0.880992196;9066.666667;41362.66667
144;62795;0.861781555;12066.66667;42373.5
278.3333333;46986;0.984196798;3933.333333;31498.5
294;155958.6667;0.995305164;34791.66667;72549.66667
450.3333333;204272;0.981979297;11366.66667;343579
60;95289;0.994444444;587.5;32231
16.66666667;24191;0.96969697;1200;66773
85.33333333;91048.33333;0.735789031;11441.66667;423193.3333
379.3333333;27349.66667;1;20216.66667;62167
7.666666667;8030;1;275;108335.6667
65;32596.66667;0.962962963;3125;226310.3333
20.33333333;34409.33333;0.842936001;14750;44550
38;60534.33333;0.514005602;9075;138215.6667
100.3333333;106345;1;14691.66667;120
0;6331;1;52833.33333;111704.3333
68.66666667;127414;0.995614035;53316.66667;194453
36;26388.33333;0.671201436;15283.33333;61861.66667
518.6666667;65488;1;700;487
680.3333333;133158;0.994557823;31483.33333;8020.5
24.33333333;38703.66667;1;30616.66667;60
432.6666667;41635;0.995169082;5858.333333;63277
329;116231.6667;0.993055999;45283.33333;59195.66667
2.5;6218;0.777777778;1650;253333.3333
2073;178062;1;178166.6667;16400
2;4739.666667;1;28337.5;35417.66667
186;55193.66667;0.996923077;11908.33333;7980
231.6666667;51935;0.997354497;13341.66667;142721.6667
91;139114.6667;0.613138138;6483.333333;300755.3333
226;94390;1;15841.66667;60
0;1223.5;0.5;3908.333333;102618
108;19458.33333;0.944444444;34816.66667;750
1.666666667;4045.333333;0.166666667;13663.66667;75511.66667
9;17377;1;1783.333333;32692.5
732;15111.33333;1;5716.666667;38964.33333
35.66666667;71810.66667;0.585363603;38766.66667;1564.5
230;55797.66667;0.970285013;11289.33333;70231.66667
7;18348.33333;0.367099567;70558.33333;60
315.3333333;76428;0.831351503;36550;341477.3333
301.6666667;152066.6667;0.933291659;15575;100001
6;9833.5;1;950;52287
582.6666667;77290.66667;1;50775;334998.6667
568.6666667;87866.66667;1;4408.333333;40144.33333
7.666666667;14933;0.683333333;3500;135818.6667
138.3333333;76130.33333;0.978843707;12825;19680
401.3333333;69432.66667;0.998127341;18617.66667;282
26.33333333;29040.66667;0.50877193;7858.333333;312604
71.33333333;14311.66667;0.667647059;6966.666667;250784.3333
4.666666667;6107;0.771428571;30475;100645
238.3333333;200264;0.954791882;21500;56710
8;18964.66667;1;23441.66667;43930
99.33333333;56109.66667;0.878219193;17233.33333;20520
126.3333333;61790;1;1637.5;180
17.66666667;29621;0.778571429;4158.333333;64453.33333
102.6666667;50505;0.928307941;9129.666667;11861
897.6666667;65289.66667;1;25983.33333;16460
157.6666667;73279.66667;0.933904529;483;4950
264;67839.33333;0.979734703;30450;3570
43;44886.33333;1;8250;164221.3333
53;26688.33333;0.948879552;5100;1.00E+05
1106;180806.6667;1;24333.33333;295
176.3333333;100266.3333;0.913018833;34853.66667;15023.33333
184.6666667;58041;0.984121822;53825;180
24.33333333;52543;0.634185322;49116.66667;50001
91.66666667;42644.66667;0.55762987;54758.33333;13740
206.3333333;22536.33333;1;8708.333333;100613.3333
